Unnamed: 0,French,English
0,partie,part
1,seulement,only
2,aide,help
3,demande,request
4,genre,kind
5,mois,month
6,frère,brother
7,laisser,let
8,car,because
9,mettre,to put
10,aucun,no
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,savais,knew
27,étaient,were
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,corps,body
38,endroit,place
40,façon,way
41,écoute,listen
42,dont,whose
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
60,venez,come
61,devant,in front of
62,vers,towards
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,cause,cause
73,enfin,finally
74,eau,water
75,attendez,Wait
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,dirait,would say
81,terre,Earth
82,compte,account
83,donne,given
84,loin,far
85,fin,end
86,croire,believe
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
